cmd,time,pwmL,pwmR,encL,encR
5,6230,-252,-252,1310,1242
5,6240,-252,-252,1304,1236
5,6250,-252,-252,1298,1230
5,6260,-252,-252,1292,1224
5,6270,-252,-252,1286,1218
5,6280,-252,-252,1281,1213
5,6290,-252,-252,1275,1208
5,6300,-252,-252,1269,1202
5,6310,-252,-252,1263,1196
5,6320,-249,-249,1258,1191
5,6330,-249,-249,1252,1185
5,6340,-249,-249,1246,1179
5,6350,-249,-249,1240,1174
5,6360,-247,-247,1235,1168
5,6370,-247,-247,1229,1163
5,6380,-247,-247,1223,1157
5,6390,-247,-247,1217,1151
5,6400,-244,-244,1212,1146
5,6410,-244,-244,1206,1140
5,6420,-244,-244,1201,1135
5,6430,-242,-242,1195,1129
5,6440,-239,-239,1189,1123
5,6450,-239,-239,1184,1118
5,6460,-237,-237,1178,1112
5,6470,-237,-237,1172,1107
5,6480,-234,-234,1166,1101
5,6490,-234,-234,1161,1096
5,6500,-232,-232,1156,1090
5,6510,-232,-232,1150,1084
5,6520,-229,-229,1144,1079
5,6530,-229,-229,1139,1074
5,6540,-224,-224,1134,1068
5,6550,-224,-224,1128,1063
5,6560,-221,-221,1122,1057
5,6571,-221,-221,1117,1052
5,6581,-219,-219,1111,1046
5,6591,-219,-219,1106,1041
5,6601,-214,-214,1100,1035
5,6611,-214,-214,1095,1030
5,6621,-209,-209,1090,1025
5,6631,-209,-209,1085,1020
5,6641,-204,-204,1080,1014
5,6651,-204,-204,1074,1009
5,6661,-201,-201,1070,1004
5,6671,-201,-201,1065,999
5,6681,-196,-196,1060,994
5,6691,-196,-196,1055,989
5,6701,-191,-191,1051,984
5,6711,-191,-191,1046,979
5,6721,-186,-186,1041,974
5,6731,-186,-186,1037,969
5,6742,-178,-178,1032,964
5,6752,-178,-178,1028,960
5,6762,-173,-173,1024,955
5,6772,-173,-173,1020,951
5,6782,-168,-168,1016,946
5,6792,-168,-168,1013,943
5,6802,-163,-163,1009,939
5,6812,-163,-163,1006,935
5,6822,-155,-155,1003,931
5,6832,-155,-155,999,927
5,6842,-150,-150,995,922
5,6852,-150,-150,990,917
5,6862,-142,-142,985,912
5,6872,-142,-142,981,908
5,6882,-135,-135,976,902
5,6892,-135,-135,970,897
5,6902,-127,-127,965,891
5,6912,-127,-127,961,887
5,6922,-122,-122,956,881
5,6932,-122,-122,951,876
5,6942,-114,-114,946,871
5,6952,-114,-114,942,866
5,6962,-107,-107,938,862
5,6972,-107,-107,934,858
5,6982,-99,-99,930,853
5,6992,-99,-99,926,849
5,7002,-91,-91,921,845
5,7012,-91,-91,916,840
5,7022,-84,-84,911,834
5,7032,-84,-84,906,829
5,7042,-76,-76,902,824
5,7052,-76,-76,896,819
5,7062,-66,-66,891,813
5,7072,-66,-66,885,808
5,7083,-58,-58,880,802
5,7093,-58,-58,875,797
5,7103,-51,-51,869,791
5,7113,-51,-51,864,786
5,7123,-43,-43,859,780
5,7133,-43,-43,854,776
5,7143,-33,-33,849,770
5,7153,-33,-33,844,765
5,7163,-25,-25,839,760
5,7173,-25,-25,835,756
5,7183,-17,-17,830,751
5,7193,-17,-17,825,746
5,7203,-7,-7,821,741
5,7213,-7,-7,817,737
5,7223,0,0,813,733
5,7233,0,0,809,729
5,7243,7,7,806,725
5,7254,7,7,802,721
5,7264,15,15,799,717
5,7274,15,15,796,714
5,7284,25,25,794,711
5,7294,25,25,792,709
5,7304,33,33,791,708
5,7314,33,33,790,707
5,7324,43,43,790,707
5,7334,43,43,791,708
5,7344,51,51,791,709
5,7354,51,51,793,711
5,7364,58,58,794,713
5,7374,58,58,797,716
5,7384,68,68,799,718
5,7394,68,68,802,722
5,7404,76,76,805,726
5,7414,76,76,809,730
5,7424,86,86,812,734
5,7434,86,86,816,739
5,7444,94,94,820,744
5,7454,94,94,825,749
5,7464,102,102,830,755
5,7474,102,102,834,759
5,7484,109,109,839,765
5,7494,109,109,843,770
5,7504,119,119,847,774
5,7514,119,119,851,778
5,7524,127,127,855,783
5,7534,127,127,858,788
5,7544,135,135,862,792
5,7554,135,135,866,796
5,7564,142,142,870,801
5,7574,142,142,875,806
5,7584,150,150,880,812
5,7595,150,150,885,817
5,7605,158,158,890,822
5,7615,158,158,895,828
5,7625,165,165,900,833
5,7635,165,165,904,838
5,7645,170,170,908,842
5,7655,170,170,913,847
5,7665,178,178,917,851
5,7675,178,178,921,856
5,7685,186,186,924,860
5,7695,186,186,928,864
5,7705,191,191,932,869
5,7715,191,191,936,873
5,7725,196,196,939,877
5,7735,196,196,943,881
5,7745,204,204,946,886
5,7755,204,204,950,890
5,7766,209,209,954,895
5,7776,209,209,957,900
5,7786,214,214,961,904
5,7796,214,214,965,909
5,7806,219,219,970,914
5,7816,219,219,973,919
5,7826,224,224,978,924
5,7836,224,224,982,929
5,7846,229,229,986,934
5,7856,229,229,991,939
5,7866,232,232,995,945
5,7876,232,232,1000,950
5,7886,237,237,1005,955
5,7896,237,237,1009,960
5,7906,239,239,1014,966
5,7916,239,239,1019,971
5,7926,242,242,1025,977
5,7936,242,242,1029,982
5,7946,244,244,1034,987
5,7956,244,244,1040,993
5,7966,247,247,1045,999
5,7976,247,247,1050,1004
5,7986,249,249,1055,1010
5,7996,249,249,1061,1015
5,8006,252,252,1066,1018
5,8016,252,252,1072,1024
5,8026,252,252,1077,1029
5,8036,252,252,1083,1034
5,8046,252,252,1088,1040
5,8056,252,252,1094,1043
5,8066,252,252,1099,1048
5,8076,252,252,1105,1053
5,8086,252,252,1111,1059
5,8096,252,252,1117,1065
5,8107,252,252,1122,1070
5,8117,252,252,1128,1075
5,8127,252,252,1134,1080
5,8137,252,252,1140,1085
5,8147,252,252,1146,1091
5,8157,252,252,1151,1096
5,8167,249,249,1157,1101
5,8177,249,249,1163,1107
5,8187,247,247,1168,1112
5,8197,247,247,1173,1118
5,8207,244,244,1179,1123
5,8217,244,244,1185,1128
5,8227,242,242,1190,1133
5,8237,239,239,1195,1136
5,8247,239,239,1201,1140
5,8257,234,234,1207,1144
5,8267,234,234,1213,1147
5,8278,232,232,1219,1151
5,8288,232,232,1224,1157
5,8298,226,226,1229,1162
5,8308,226,226,1235,1168
5,8318,221,221,1240,1174
5,8328,221,221,1245,1179
5,8338,221,221,1250,1184
5,8348,216,216,1255,1190
5,8358,216,216,1261,1195
5,8368,211,211,1265,1200
5,8378,211,211,1270,1205
5,8388,206,206,1275,1211
5,8398,206,206,1280,1216
5,8408,198,198,1285,1221
5,8418,191,191,1289,1226
5,8428,191,191,1294,1231
5,8438,186,186,1299,1237
5,8448,186,186,1303,1241
5,8458,178,178,1308,1246
5,8468,178,178,1312,1251
5,8478,170,170,1316,1256
5,8488,170,170,1320,1260
5,8498,160,160,1324,1264
5,8508,160,160,1328,1269
5,8518,153,153,1331,1273
5,8528,153,153,1336,1277
5,8538,145,145,1340,1282
5,8548,145,145,1344,1287
5,8558,145,145,1350,1292
5,8568,135,135,1355,1298
5,8578,124,124,1359,1302
5,8588,124,124,1364,1308
5,8598,117,117,1369,1313
5,8608,117,117,1374,1318
5,8619,107,107,1379,1323
5,8629,107,107,1383,1328
5,8639,96,96,1387,1333
5,8649,96,96,1392,1338
5,8659,86,86,1397,1343
5,8669,86,86,1401,1348
5,8679,76,76,1406,1353
5,8689,76,76,1411,1359
5,8699,66,66,1416,1364
5,8709,66,66,1421,1369
5,8719,53,53,1426,1374
5,8729,53,53,1431,1380
5,8739,43,43,1436,1385
5,8749,43,43,1440,1390
5,8759,43,43,1445,1395
5,8769,33,33,1450,1401
5,8779,20,20,1455,1406
5,8790,20,20,1459,1411
5,8800,10,10,1463,1416
5,8810,10,10,1467,1420
5,8820,0,0,1471,1425
5,8830,0,0,1475,1429
5,8840,-10,-10,1478,1433
5,8850,-10,-10,1481,1437
5,8860,-20,-20,1484,1441
5,8870,-20,-20,1486,1444
5,8880,-33,-33,1488,1446
5,8890,-33,-33,1489,1448
5,8900,-43,-43,1490,1449
5,8910,-43,-43,1490,1449
5,8920,-53,-53,1490,1449
5,8930,-53,-53,1488,1448
5,8940,-66,-66,1487,1446
5,8950,-66,-66,1485,1443
5,8960,-76,-76,1483,1440
5,8970,-76,-76,1480,1437
5,8980,-86,-86,1476,1433
5,8990,-86,-86,1472,1429
5,9000,-99,-99,1468,1424
5,9010,-99,-99,1464,1420
5,9020,-109,-109,1459,1414
5,9030,-109,-109,1454,1409
5,9040,-119,-119,1450,1405
5,9050,-119,-119,1446,1400
5,9060,-130,-130,1441,1396
5,9070,-130,-130,1437,1391
5,9080,-140,-140,1432,1386
5,9090,-140,-140,1428,1382
5,9100,-147,-147,1423,1377
5,9110,-147,-147,1418,1371
5,9120,-158,-158,1413,1366
5,9131,-158,-158,1408,1361
5,9141,-168,-168,1403,1356
5,9151,-168,-168,1398,1351
5,9161,-175,-175,1394,1346
